City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
186,Atar,MR,2022-08-06 16:32:06,20.5169,-13.0499,106.77,18,98,10.65
187,Morondava,MG,2022-08-06 16:32:07,-20.2833,44.2833,72.79,75,0,15.35
188,Whitehorse,CA,2022-08-06 16:32:07,60.7161,-135.0538,58.1,71,75,8.05
189,Korla,CN,2022-08-06 16:32:08,41.7597,86.1469,88.99,24,97,7.18
190,Bluff,NZ,2022-08-06 16:32:08,-46.6,168.3333,40.53,96,86,19.46
191,Sturgeon Falls,CA,2022-08-06 16:32:09,46.3646,-79.9326,84.88,54,69,13.22
192,Provideniya,RU,2022-08-06 16:32:09,64.3833,-173.3,48.25,84,59,4.65
193,Vidim,RU,2022-08-06 16:32:09,56.4088,103.1106,48.22,99,99,5.55
194,Port Alfred,ZA,2022-08-06 16:32:10,-33.5906,26.891,58.17,93,36,1.99
195,Heyang,CN,2022-08-06 16:32:10,26.1011,107.473,68.45,98,51,2.82
196,Bageshwar,IN,2022-08-06 16:32:11,29.85,79.7667,71.76,95,89,2.53
197,Chuy,UY,2022-08-06 16:32:11,-33.6971,-53.4616,53.33,64,99,8.39
198,Sao Joao Da Barra,BR,2022-08-06 16:28:41,-21.6403,-41.0511,77.09,63,100,11.1
199,Georgetown,MY,2022-08-06 16:32:11,5.4112,100.3354,82.33,85,20,2.3
200,Baykit,RU,2022-08-06 16:32:12,61.67,96.37,51.87,91,100,3.33
201,Gizo,SB,2022-08-06 16:32:12,-8.103,156.8419,81.27,74,98,5.68
202,Dakar,SN,2022-08-06 16:32:12,14.6937,-17.4441,86.13,74,40,9.22
203,Vanavara,RU,2022-08-06 16:32:13,60.34,102.2797,49.05,94,100,8.59
204,Sanghar,PK,2022-08-06 16:32:13,26.0466,68.9481,94.53,46,54,4.56
205,Olafsvik,IS,2022-08-06 16:32:13,64.8945,-23.7142,53.89,91,96,6.31
206,Praia Da Vitoria,PT,2022-08-06 16:30:00,38.7333,-27.0667,73.76,100,40,13.4
207,Chifeng,CN,2022-08-06 16:27:17,42.2683,118.9636,76.91,78,100,6.42
208,Khartoum,SD,2022-08-06 16:32:14,15.5518,32.5324,91.02,51,100,1.99
209,Kodinsk,RU,2022-08-06 16:32:14,58.6881,99.1844,46.0,95,100,3.33
210,Taoudenni,ML,2022-08-06 16:32:15,22.6783,-3.9836,113.67,7,22,18.01
211,Dalvik,IS,2022-08-06 16:32:15,65.9702,-18.5286,58.93,77,100,1.66
212,Sistranda,NO,2022-08-06 16:32:15,63.7256,8.834,51.76,80,100,25.3
213,Port Hedland,AU,2022-08-06 16:32:16,-20.3167,118.5667,57.25,77,0,8.05
214,Krasnoarmeysk,RU,2022-08-06 16:32:16,51.0239,45.6969,75.47,39,55,14.12
215,Gat,IL,2022-08-06 16:32:16,31.61,34.7642,85.41,100,0,10.6
216,Okoneshnikovo,RU,2022-08-06 16:32:17,54.8377,75.0834,61.74,85,64,6.89
217,Tommot,RU,2022-08-06 16:32:17,58.9564,126.2925,51.53,98,100,8.75
218,Nanortalik,GL,2022-08-06 16:32:18,60.1432,-45.2371,45.01,95,100,7.31
219,Komsomolskiy,UZ,2022-08-06 16:32:18,40.4272,71.7189,82.67,24,2,7.16
220,San Jose,US,2022-08-06 16:28:38,37.3394,-121.895,69.87,77,75,5.75
221,Soe,ID,2022-08-06 16:32:18,-9.8607,124.284,62.33,96,47,3.83
222,Talnakh,RU,2022-08-06 16:32:19,69.4865,88.3972,58.21,95,94,3.76
223,Ketchikan,US,2022-08-06 16:32:19,55.3422,-131.6461,59.47,94,100,14.97
224,Avera,US,2022-08-06 16:32:19,33.194,-82.5271,89.11,47,62,6.35
225,Omihachiman,JP,2022-08-06 16:32:20,35.1286,136.0976,80.58,91,61,3.04
226,Hashtrud,IR,2022-08-06 16:32:20,37.4779,47.0508,71.87,55,57,5.48
227,Khash,IR,2022-08-06 16:33:20,28.2211,61.2158,86.04,12,0,9.17
228,Yuanping,CN,2022-08-06 16:33:21,38.7153,112.7575,74.97,86,82,1.68
229,Palauig,PH,2022-08-06 16:33:21,15.435,119.9045,79.2,84,100,11.61
230,Zeya,RU,2022-08-06 16:33:21,53.75,127.2667,50.81,96,23,2.39
231,Irbeyskoye,RU,2022-08-06 16:33:23,55.6428,95.4522,49.48,81,70,4.14
232,Machali,CL,2022-08-06 16:33:23,-34.1833,-70.6667,45.68,93,100,3.44
233,Touros,BR,2022-08-06 16:33:23,-5.1989,-35.4608,82.63,65,79,17.0
234,Bud,US,2022-08-06 16:33:24,39.447,-86.1758,85.82,83,6,4.83
235,Ilhabela,BR,2022-08-06 16:33:24,-23.7781,-45.3581,68.86,70,99,6.26
236,Rosetta,EG,2022-08-06 16:33:25,31.4044,30.4164,79.47,68,0,9.33
237,Imeni Poliny Osipenko,RU,2022-08-06 16:33:26,52.4201,136.4853,61.59,98,100,4.45
238,Nerchinskiy Zavod,RU,2022-08-06 16:33:26,51.3088,119.61,57.97,61,99,4.18
239,Bowen,AU,2022-08-06 16:33:26,-20.0167,148.2333,67.28,95,28,5.55
240,Hambantota,LK,2022-08-06 16:33:27,6.1241,81.1185,78.24,83,100,16.46
241,Sao Mateus,BR,2022-08-06 16:31:11,-18.7161,-39.8589,80.28,58,92,8.77
242,Ulaanbaatar,MN,2022-08-06 16:30:23,47.9077,106.8832,53.73,82,20,8.95
243,San Ramon,US,2022-08-06 16:31:56,37.7799,-121.978,69.33,74,100,6.91
244,Oistins,BB,2022-08-06 16:33:28,13.0667,-59.5333,87.89,70,40,17.27
245,Balakhninskiy,RU,2022-08-06 16:33:28,58.0106,114.2769,49.26,95,94,4.29
246,Mwene-Ditu,CD,2022-08-06 16:33:29,-7.0,23.45,80.49,25,7,2.84
247,Kedrovyy,RU,2022-08-06 16:33:29,56.1667,91.8167,52.21,76,33,4.18
248,Urucara,BR,2022-08-06 16:33:29,-2.5364,-57.76,96.44,34,20,5.79
249,Teguldet,RU,2022-08-06 16:33:30,57.3064,88.1667,54.59,96,79,3.06
