City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
249,Torbay,CA,47.6666,-52.7314,75.88,76,32,17.0,scattered clouds
250,Kenai,US,60.5544,-151.2583,60.89,68,0,25.32,clear sky
251,Cidreira,BR,-30.1811,-50.2056,58.77,88,100,12.21,overcast clouds
252,Matehuala,MX,23.65,-100.65,84.78,27,6,11.41,clear sky
253,Havoysund,NO,70.9963,24.6622,50.23,85,100,19.42,overcast clouds
254,Hirara,JP,24.8,125.2833,84.09,75,8,11.97,clear sky
255,Gravdal,NO,68.1214,13.5031,49.89,100,75,6.91,broken clouds
256,San Patricio,US,28.017,-97.5169,97.52,43,51,17.29,broken clouds
257,Komsomolskiy,UZ,40.4272,71.7189,80.71,24,3,6.38,clear sky
258,Cisarua,ID,-6.6527,106.471,66.79,93,7,2.73,clear sky
259,Aras,ES,42.5617,-2.356,75.61,57,0,2.3,clear sky
260,Mataram,ID,-8.5833,116.1167,70.61,83,21,9.13,few clouds
261,Bambous Virieux,MU,-20.3428,57.7575,66.22,75,19,7.78,few clouds
262,Saint-Joseph,RE,-21.3667,55.6167,66.58,80,11,5.84,few clouds
263,Khuzhir,RU,53.1939,107.3397,52.45,77,47,9.06,scattered clouds
264,Fuling,CN,29.7022,107.3919,80.17,75,100,3.49,overcast clouds
265,Dagana,MR,16.5165,-15.5068,87.48,54,0,16.22,clear sky
266,Bremerton,US,47.5673,-122.6326,91.85,45,0,11.5,clear sky
267,Champerico,GT,14.3,-91.9167,85.15,71,72,13.22,broken clouds
268,Dunmore Town,BS,25.5,-76.65,83.39,67,65,13.22,broken clouds
269,Piotrkow Trybunalski,PL,51.4055,19.7032,60.19,12,57,5.88,broken clouds
270,Vila Velha,BR,-20.3297,-40.2925,76.95,82,0,12.66,clear sky
271,Parczew,PL,51.6402,22.9006,57.81,80,9,7.58,clear sky
272,Abonnema,NG,4.7084,6.7931,76.01,88,72,8.19,broken clouds
273,Nyurba,RU,63.2842,118.3319,47.82,93,80,3.13,broken clouds
274,Kenscoff,HT,18.4506,-72.2869,73.54,62,40,5.86,scattered clouds
275,Viedma,AR,-40.8135,-62.9967,47.07,73,100,6.64,overcast clouds
276,Bairiki,KI,1.3292,172.9752,84.2,74,20,9.22,few clouds
277,Baykit,RU,61.67,96.37,55.17,89,81,3.36,broken clouds
278,Fortuna,US,40.5982,-124.1573,72.93,74,100,11.5,overcast clouds
279,Poronaysk,RU,49.2167,143.1167,57.47,99,100,6.31,moderate rain
280,Safranbolu,TR,41.2508,32.6942,65.39,86,1,1.61,clear sky
281,Bose,IT,45.4612,8.0137,71.19,91,100,3.87,moderate rain
282,Chumikan,RU,54.7183,135.315,52.43,96,100,21.47,light rain
283,Liverpool,GB,53.4106,-2.9779,63.14,77,20,3.44,few clouds
284,Bani Walid,LY,31.7566,13.9942,76.75,66,0,7.85,clear sky
285,Ust-Kulom,RU,61.6864,53.6902,64.94,73,29,4.61,scattered clouds
286,Antalaha,MG,-14.9003,50.2788,64.71,88,34,5.93,scattered clouds
287,Villa Carlos Paz,AR,-31.4241,-64.4978,53.38,40,100,5.99,overcast clouds
288,Tazmalt,DZ,36.3868,4.3989,80.19,35,0,5.57,clear sky
289,Matagami,CA,49.7502,-77.6328,62.71,51,75,6.91,broken clouds
290,Buraydah,SA,26.326,43.975,101.64,16,39,9.15,scattered clouds
291,Basar,IN,27.9833,94.6667,73.76,94,20,2.3,heavy intensity rain
292,Lavrentiya,RU,65.5833,-171.0,36.9,89,100,16.62,moderate rain
293,Santa Rita,BR,-7.1139,-34.9781,75.87,83,20,6.91,few clouds
